,model_combo,convs.0,convs.2,convs.5,convs.7,convs.10,convs.12,linear.0,linear.2,linear.4,total same,total weights,percent shared total
0,"(3, 11)",0.7256944444444444,0.5553385416666666,0.546875,0.5594889322916666,0.5689358181423612,0.587432861328125,0.5813541412353516,0.55633544921875,0.64921875,1306530,2261184,0.5778079094845886
0,"(3, 12)",0.7013888888888888,0.5359157986111112,0.5427517361111112,0.5614420572916666,0.5703870985243056,0.5886060926649306,0.5810890197753906,0.56500244140625,0.64375,1307152,2261184,0.5780829866123235
0,"(3, 13)",0.7118055555555556,0.54931640625,0.54296875,0.56298828125,0.5700751410590278,0.5884908040364584,0.5813732147216797,0.558013916015625,0.66015625,1307630,2261184,0.5782943802892644
0,"(3, 14)",0.7395833333333334,0.5571831597222222,0.5478244357638888,0.5614556206597222,0.5703531901041666,0.5883856879340278,0.5816421508789062,0.553924560546875,0.6515625,1308112,2261184,0.5785075429509496
0,"(4, 5)",0.7199074074074074,0.5502387152777778,0.5478786892361112,0.5610215928819444,0.5695054796006944,0.58740234375,0.5800151824951172,0.556427001953125,0.65703125,1305404,2261184,0.577309940279075
0,"(4, 6)",0.7280092592592593,0.5546875,0.5473090277777778,0.5669894748263888,0.5697360568576388,0.5887179904513888,0.5808391571044922,0.55517578125,0.66015625,1308054,2261184,0.5784818926721575
0,"(4, 7)",0.7523148148148148,0.5616861979166666,0.5516493055555556,0.5602891710069444,0.5690578884548612,0.5866021050347222,0.5804443359375,0.552154541015625,0.6546875,1305612,2261184,0.5774019274857773
0,"(4, 8)",0.7222222222222222,0.556640625,0.5490180121527778,0.5616590711805556,0.5693901909722222,0.588348388671875,0.5805301666259766,0.5523681640625,0.64375,1306586,2261184,0.5778326752710085
0,"(4, 9)",0.7106481481481481,0.5564236111111112,0.5463324652777778,0.5612114800347222,0.5709499782986112,0.5888264973958334,0.5802631378173828,0.552154541015625,0.65703125,1306776,2261184,0.5779167020463616
0,"(4, 10)",0.7476851851851852,0.5503472222222222,0.5528428819444444,0.5609537760416666,0.5696004231770834,0.5889960394965278,0.5805244445800781,0.554107666015625,0.6625,1307176,2261184,0.5780936005207891
0,"(4, 11)",0.7175925925925926,0.5389539930555556,0.5475531684027778,0.5617947048611112,0.5674370659722222,0.5881381564670138,0.5804424285888672,0.56787109375,0.65546875,1306092,2261184,0.5776142056550905
0,"(4, 12)",0.7314814814814815,0.5658637152777778,0.5481228298611112,0.5631374782986112,0.5705837673611112,0.589996337890625,0.5812282562255859,0.561553955078125,0.6515625,1309772,2261184,0.579241671619824
0,"(4, 13)",0.7314814814814815,0.5597330729166666,0.5468478732638888,0.5582546657986112,0.5680406358506944,0.5863444010416666,0.5807647705078125,0.558441162109375,0.65546875,1305148,2261184,0.5771967252554414
0,"(4, 14)",0.7650462962962963,0.5627170138888888,0.5442437065972222,0.5644802517361112,0.57080078125,0.5885179307725694,0.5811138153076172,0.557159423828125,0.66640625,1308448,2261184,0.5786561376694688
0,"(5, 6)",0.7337962962962963,0.55322265625,0.5410698784722222,0.559814453125,0.5711127387152778,0.5877346462673612,0.5817050933837891,0.554168701171875,0.6578125,1307154,2261184,0.5780838711046956
0,"(5, 7)",0.7164351851851852,0.5568033854166666,0.5425075954861112,0.5596110026041666,0.5675523546006944,0.5881415473090278,0.5808506011962891,0.55975341796875,0.67578125,1306038,2261184,0.5775903243610427
0,"(5, 8)",0.7268518518518519,0.5466579861111112,0.5482313368055556,0.5616726345486112,0.5728556315104166,0.588226318359375,0.5813064575195312,0.564056396484375,0.6890625,1308816,2261184,0.5788188842659421
0,"(5, 9)",0.7280092592592593,0.5525716145833334,0.5434841579861112,0.5600179036458334,0.5692477756076388,0.58734130859375,0.5804023742675781,0.558319091796875,0.659375,1305456,2261184,0.5773329370807506
0,"(5, 10)",0.7430555555555556,0.5468207465277778,0.5457356770833334,0.5603162977430556,0.5683729383680556,0.587890625,0.5820598602294922,0.555755615234375,0.66015625,1307118,2261184,0.5780679502419971
0,"(5, 11)",0.7199074074074074,0.54931640625,0.5436469184027778,0.5607503255208334,0.5689222547743056,0.5869038899739584,0.5809955596923828,0.552398681640625,0.6578125,1305318,2261184,0.5772719071070731
0,"(5, 12)",0.7233796296296297,0.5468207465277778,0.5444878472222222,0.5591362847222222,0.5696139865451388,0.5878533257378472,0.5813579559326172,0.5643310546875,0.66953125,1307012,2261184,0.5780210721462739
0,"(5, 13)",0.7314814814814815,0.5477430555555556,0.5412055121527778,0.5614963107638888,0.5702311197916666,0.5881788465711806,0.5812435150146484,0.55523681640625,0.675,1306838,2261184,0.5779441213098978
0,"(5, 14)",0.7407407407407407,0.5608181423611112,0.5442437065972222,0.5623779296875,0.5699666341145834,0.5882331000434028,0.5815219879150391,0.554901123046875,0.66640625,1307892,2261184,0.5784102487900145
0,"(6, 7)",0.7476851851851852,0.5658094618055556,0.5495062934027778,0.5630696614583334,0.5693495008680556,0.58782958984375,0.581787109375,0.55426025390625,0.6671875,1308396,2261184,0.5786331408677932
0,"(6, 8)",0.7395833333333334,0.5686848958333334,0.549072265625,0.5586615668402778,0.5711669921875,0.5887247721354166,0.5814456939697266,0.55609130859375,0.66953125,1308638,2261184,0.5787401644448218
0,"(6, 9)",0.7199074074074074,0.5593532986111112,0.5486111111111112,0.5608181423611112,0.5709160698784722,0.5883619520399306,0.5811290740966797,0.562408447265625,0.66640625,1308330,2261184,0.5786039526195126
0,"(6, 10)",0.7372685185185185,0.5678168402777778,0.5472819010416666,0.5628933376736112,0.5717841254340278,0.5876702202690972,0.5820636749267578,0.56146240234375,0.675,1309668,2261184,0.5791956780164728
0,"(6, 11)",0.7442129629629629,0.5705295138888888,0.5439724392361112,0.5588107638888888,0.5704277886284722,0.5884568956163194,0.5817756652832031,0.55413818359375,0.65234375,1308158,2261184,0.5785278862755088
0,"(6, 12)",0.7106481481481481,0.5584852430555556,0.5447591145833334,0.5619845920138888,0.5705362955729166,0.588348388671875,0.5817584991455078,0.55596923828125,0.65234375,1308252,2261184,0.5785694574169993
0,"(6, 13)",0.7268518518518519,0.55615234375,0.5478515625,0.5651041666666666,0.5681084526909722,0.5876091851128472,0.581695556640625,0.55035400390625,0.65234375,1307296,2261184,0.5781466700631174
0,"(6, 14)",0.7222222222222222,0.5578884548611112,0.5455457899305556,0.5638156467013888,0.5719807942708334,0.5888637966579862,0.5815067291259766,0.556732177734375,0.6625,1309120,2261184,0.578953327106507
0,"(7, 8)",0.7326388888888888,0.5549587673611112,0.5463053385416666,0.5598415798611112,0.5691799587673612,0.5874701605902778,0.5812721252441406,0.562835693359375,0.66875,1307022,2261184,0.5780254946081345
0,"(7, 9)",0.7314814814814815,0.5702582465277778,0.5459798177083334,0.5587022569444444,0.56988525390625,0.588226318359375,0.5809383392333984,0.55474853515625,0.64296875,1307100,2261184,0.5780599898106479
0,"(7, 10)",0.7303240740740741,0.5726996527777778,0.5536838107638888,0.5641276041666666,0.5706380208333334,0.5874565972222222,0.5812587738037109,0.560577392578125,0.66328125,1309094,2261184,0.5789418287056692
0,"(7, 11)",0.7395833333333334,0.5531141493055556,0.54345703125,0.5623779296875,0.5685763888888888,0.5875617133246528,0.5812225341796875,0.555816650390625,0.65859375,1306468,2261184,0.5777804902210524
0,"(7, 12)",0.7418981481481481,0.5509982638888888,0.5479329427083334,0.5618489583333334,0.5706448025173612,0.588958740234375,0.5806140899658203,0.558258056640625,0.65546875,1307594,2261184,0.5782784594265659
0,"(7, 13)",0.75,0.5519748263888888,0.5453830295138888,0.5605197482638888,0.5694512261284722,0.5874871148003472,0.5815181732177734,0.554962158203125,0.6546875,1306770,2261184,0.5779140485692451
0,"(7, 14)",0.7453703703703703,0.5689019097222222,0.5436469184027778,0.5606825086805556,0.5684000651041666,0.5883076985677084,0.5825119018554688,0.553070068359375,0.65625,1308378,2261184,0.578625180436444
0,"(8, 9)",0.7303240740740741,0.5531684027777778,0.5489908854166666,0.5593397352430556,0.5694580078125,0.5887620713975694,0.5811653137207031,0.560455322265625,0.66640625,1307646,2261184,0.5783014562282415
