Date Finished, Base Config, Name, Prune Rate, Current Val Top 1, Current Val Top 5, Best Val Top 1, Best Val Top 5, Best Train Top 1, Best Train Top 5
12-11-23_00:21:39, configs/cifar10/resnet18-kn-tiled-16.yaml, baseline, 0.0, 41.00, 96.89, 42.75, 97.26, 45.59, 98.85
12-11-23_02:12:07, configs/cifar10/resnet18-kn-tiled-8.yaml, baseline, 0.0, 89.54, 99.33, 89.73, 99.39, 98.04, 99.99
12-11-23_04:08:52, configs/cifar10/resnet18-kn-tiled-16.yaml, baseline, 0.0, 86.68, 99.47, 86.69, 99.49, 92.18, 99.88
12-11-23_05:59:44, configs/cifar10/vgg-kn-tiled-4.yaml, baseline, 0.0, 88.91, 97.95, 88.91, 97.97, 99.64, 100.00
12-11-23_09:38:24, configs/cifar10/resnet18-kn-tiled-8.yaml, baseline, 0.0, 91.99, 99.70, 92.23, 99.74, 99.84, 100.00
12-11-23_14:58:44, configs/cifar10/resnet18-kn-tiled-16.yaml, baseline, 0.0, 90.69, 99.65, 90.75, 99.71, 98.05, 100.00
12-11-23_16:21:34, configs/cifar10/vgg-kn-tiled-4.yaml, baseline, 0.0, 89.09, 97.56, 89.19, 97.82, 99.85, 100.00
12-11-23_16:30:59, configs/cifar10/vgg-kn-tiled-4.yaml, baseline, 0.0, 91.89, 99.68, 92.03, 99.82, 99.46, 100.00
12-11-23_17:08:03, configs/cifar10/vgg-kn-tiled-4.yaml, baseline, 0.0, 88.97, 97.56, 89.07, 97.93, 99.77, 100.00
12-11-23_17:54:49, configs/cifar10/vgg-kn-tiled-4.yaml, baseline, 0.0, 91.67, 99.77, 91.67, 99.79, 99.59, 100.00
12-11-23_19:43:39, configs/cifar10/resnet18-kn-tiled-8.yaml, baseline, 0.0, 92.23, 99.67, 92.46, 99.74, 99.87, 100.00
12-12-23_00:37:56, configs/cifar10/resnet18-kn-tiled-16.yaml, baseline, 0.0, 90.73, 99.64, 90.74, 99.69, 98.00, 99.99
12-12-23_05:01:20, configs/cifar10/resnet18-kn-tiled-8.yaml, baseline, 0.0, 92.35, 99.70, 92.45, 99.79, 99.95, 100.00
12-12-23_07:43:23, configs/cifar10/vgg-kn-tiled-16.yaml, baseline, 0.0, 87.61, 99.40, 88.17, 99.54, 92.12, 99.86
12-12-23_08:54:56, configs/cifar10/vgg-kn-tiled-4.yaml, baseline, 0.0, 88.95, 97.55, 89.21, 97.88, 99.90, 100.00
12-12-23_11:48:38, configs/cifar10/vgg-kn-tiled-16.yaml, baseline, 0.0, 87.18, 99.50, 87.78, 99.57, 92.02, 99.86
12-12-23_12:50:02, configs/cifar10/vgg-kn-tiled-8.yaml, baseline, 0.0, 89.94, 99.65, 90.30, 99.71, 96.88, 99.99
